"date","portfolio","cash","equity"
"2018-01-02",100,0,100
"2018-01-03",103.733498355061,0,103.733498355061
"2018-01-04",101.486528633654,0,101.486528633654
"2018-01-05",101.84197422523,0,101.84197422523
"2018-01-08",103.409792591709,0,103.409792591709
"2018-01-09",104.583273975146,0,104.583273975146
"2018-01-10",107.675965447305,0,107.675965447305
"2018-01-11",108.061093307887,0,108.061093307887
"2018-01-12",109.892740471525,0,109.892740471525
"2018-01-16",111.23293089784,0,111.23293089784
"2018-01-17",111.919728486724,0,111.919728486724
"2018-01-18",110.517100258438,0,110.517100258438
"2018-01-19",106.5937986481,0,106.5937986481
"2018-01-22",108.880533408028,0,108.880533408028
"2018-01-23",114.716565434698,0,114.716565434698
"2018-01-24",113.971851014274,0,113.971851014274
"2018-01-25",119.846403562921,0,119.846403562921
"2018-01-26",120.115540569584,0,120.115540569584
"2018-01-29",121.836684229616,0,121.836684229616
"2018-01-30",120.815567103688,0,120.815567103688
"2018-01-31",121.502435452313,0,121.502435452313
"2018-02-01",120.528738998925,0,120.528738998925
"2018-02-02",118.018718365815,0,118.018718365815
"2018-02-05",117.198527264756,0,117.198527264756
"2018-02-06",117.254507221497,0,117.254507221497
"2018-02-07",120.803183733049,0,120.803183733049
"2018-02-08",115.985504492166,0,115.985504492166
"2018-02-09",112.22268570061,0,112.22268570061
"2018-02-12",113.333853233293,0,113.333853233293
"2018-02-13",113.369200342668,0,113.369200342668
"2018-02-14",112.657693588138,0,112.657693588138
"2018-02-15",117.461808353116,0,117.461808353116
"2018-02-16",117.26865766597,0,117.26865766597
"2018-02-20",118.194007233817,0,118.194007233817
"2018-02-21",116.571809121335,0,116.571809121335
"2018-02-22",118.203559699701,0,118.203559699701
"2018-02-23",123.80348457639,0,123.80348457639
"2018-02-26",123.105143587063,0,123.105143587063
"2018-02-27",129.700008434378,0,129.700008434378
"2018-02-28",142.512538505687,0,142.512538505687
"2018-03-01",140.397592628098,0,140.397592628098
"2018-03-02",140.895983560123,0,140.895983560123
"2018-03-05",146.144629763118,0,146.144629763118
"2018-03-06",145.136464695351,0,145.136464695351
"2018-03-07",149.772887700266,0,149.772887700266
"2018-03-08",152.88749817609,0,152.88749817609
"2018-03-09",153.911594023162,0,153.911594023162
"2018-03-12",157.674382785685,0,157.674382785685
"2018-03-13",152.62162977915,0,152.62162977915
"2018-03-14",156.482979266527,0,156.482979266527
"2018-03-15",157.046955930517,0,157.046955930517
"2018-03-16",154.577656011472,0,154.577656011472
"2018-03-19",149.357153844415,0,149.357153844415
"2018-03-20",149.46815772824,0,149.46815772824
"2018-03-21",148.932590262111,0,148.932590262111
"2018-03-22",147.548808365479,0,147.548808365479
"2018-03-23",144.453728684592,0,144.453728684592
"2018-03-26",148.196793704367,0,148.196793704367
"2018-03-27",142.901555375921,0,142.901555375921
"2018-03-28",141.984890905543,0,141.984890905543
"2018-03-29",148.282254406638,0,148.282254406638
"2018-04-02",141.758143668372,0,141.758143668372
"2018-04-03",143.575929985034,0,143.575929985034
"2018-04-04",140.666488705955,0,140.666488705955
"2018-04-05",140.235955871147,0,140.235955871147
"2018-04-06",136.032962610748,0,136.032962610748
"2018-04-09",138.668096725586,0,138.668096725586
"2018-04-10",140.331754655707,0,140.331754655707
"2018-04-11",142.364897067841,0,142.364897067841
"2018-04-12",145.188021767128,0,145.188021767128
"2018-04-13",145.197126391942,0,145.197126391942
"2018-04-16",147.252326916819,0,147.252326916819
"2018-04-17",153.859553138424,0,153.859553138424
"2018-04-18",155.925822697852,0,155.925822697852
"2018-04-19",152.933376418928,0,152.933376418928
"2018-04-20",150.514108435109,0,150.514108435109
"2018-04-23",150.688400234382,0,150.688400234382
"2018-04-24",142.120443267488,0,142.120443267488
"2018-04-25",142.028279778119,0,142.028279778119
"2018-04-26",145.097476469936,0,145.097476469936
"2018-04-27",145.486972814012,0,145.486972814012
"2018-04-30",150.099999585899,0,150.099999585899
"2018-05-01",149.728986803671,0,149.728986803671
"2018-05-02",147.010909040488,0,147.010909040488
"2018-05-03",145.162218434607,0,145.162218434607
"2018-05-04",146.823190689835,0,146.823190689835
"2018-05-07",149.580304414152,0,149.580304414152
"2018-05-08",145.573997590763,0,145.573997590763
"2018-05-09",149.093356091357,0,149.093356091357
"2018-05-10",139.910922249885,0,139.910922249885
"2018-05-11",139.101110148551,0,139.101110148551
"2018-05-14",138.899634140332,0,138.899634140332
"2018-05-15",141.114323962942,0,141.114323962942
"2018-05-16",141.93921056687,0,141.93921056687
"2018-05-17",141.638450227631,0,141.638450227631
