"date","portfolio","cash","equity"
"2018-01-02",100,0,100
"2018-01-03",101.039481645659,0,101.039481645659
"2018-01-04",100.213157848719,0,100.213157848719
"2018-01-05",101.502624899033,0,101.502624899033
"2018-01-08",102.957259529116,0,102.957259529116
"2018-01-09",103.139144649281,0,103.139144649281
"2018-01-10",100.902450723963,0,100.902450723963
"2018-01-11",101.815169418491,0,101.815169418491
"2018-01-12",102.35589273154,0,102.35589273154
"2018-01-16",101.993941578268,0,101.993941578268
"2018-01-17",104.444418129065,0,104.444418129065
"2018-01-18",103.624449242103,0,103.624449242103
"2018-01-19",105.561502512352,0,105.561502512352
"2018-01-22",105.009206525615,0,105.009206525615
"2018-01-23",105.083659609491,0,105.083659609491
"2018-01-24",103.919420998929,0,103.919420998929
"2018-01-25",99.3348747714554,0,99.3348747714554
"2018-01-26",98.3603130664639,0,98.3603130664639
"2018-01-29",96.061981253006,0,96.061981253006
"2018-01-30",96.4907581291325,0,96.4907581291325
"2018-01-31",96.033573494456,0,96.033573494456
"2018-02-01",95.1025886384942,0,95.1025886384942
"2018-02-02",93.1089732713986,0,93.1089732713986
"2018-02-05",88.788761790865,0,88.788761790865
"2018-02-06",91.7689662954576,0,91.7689662954576
"2018-02-07",90.5621635222055,0,90.5621635222055
"2018-02-08",85.2144464541864,0,85.2144464541864
"2018-02-09",85.8208934446712,0,85.8208934446712
"2018-02-12",87.8650075065473,0,87.8650075065473
"2018-02-13",88.9224796199878,0,88.9224796199878
"2018-02-14",92.3480734091832,0,92.3480734091832
"2018-02-15",93.1479461861913,0,93.1479461861913
"2018-02-16",95.6737691105002,0,95.6737691105002
"2018-02-20",95.4637313751425,0,95.4637313751425
"2018-02-21",95.2580535003403,0,95.2580535003403
"2018-02-22",93.4047341948392,0,93.4047341948392
"2018-02-23",91.9577876659615,0,91.9577876659615
"2018-02-26",91.9843406236428,0,91.9843406236428
"2018-02-27",90.195207391954,0,90.195207391954
"2018-02-28",88.9468090900413,0,88.9468090900413
"2018-03-01",88.9819622034697,0,88.9819622034697
"2018-03-02",89.6823791504766,0,89.6823791504766
"2018-03-05",89.9284504888266,0,89.9284504888266
"2018-03-06",91.5312612228074,0,91.5312612228074
"2018-03-07",92.4163740784668,0,92.4163740784668
"2018-03-08",92.8966206811085,0,92.8966206811085
"2018-03-09",94.6939111569588,0,94.6939111569588
"2018-03-12",95.4767121996239,0,95.4767121996239
"2018-03-13",95.9475486685806,0,95.9475486685806
"2018-03-14",94.468953607996,0,94.468953607996
"2018-03-15",93.9119778763476,0,93.9119778763476
"2018-03-16",94.4152321618782,0,94.4152321618782
"2018-03-19",95.2273573372573,0,95.2273573372573
"2018-03-20",94.402955020879,0,94.402955020879
"2018-03-21",94.8981133585759,0,94.8981133585759
"2018-03-22",92.0839182215439,0,92.0839182215439
"2018-03-23",90.9159243496886,0,90.9159243496886
"2018-03-26",93.502564097861,0,93.502564097861
"2018-03-27",91.6904103972435,0,91.6904103972435
"2018-03-28",90.2462932452162,0,90.2462932452162
"2018-03-29",87.1989897061914,0,87.1989897061914
"2018-04-02",88.8320619295918,0,88.8320619295918
"2018-04-03",90.5421686641714,0,90.5421686641714
"2018-04-04",93.5701622685169,0,93.5701622685169
"2018-04-05",95.0497776817122,0,95.0497776817122
"2018-04-06",92.9690380151643,0,92.9690380151643
"2018-04-09",93.0391617098383,0,93.0391617098383
"2018-04-10",94.7669794117783,0,94.7669794117783
"2018-04-11",92.8826162999164,0,92.8826162999164
"2018-04-12",91.1462163981534,0,91.1462163981534
"2018-04-13",91.6875508166405,0,91.6875508166405
"2018-04-16",91.4790371516424,0,91.4790371516424
"2018-04-17",93.4905937247023,0,93.4905937247023
"2018-04-18",93.4040606030178,0,93.4040606030178
"2018-04-19",93.5749673361149,0,93.5749673361149
