"Date","Price"
"2018-01-02",99.99
"2018-01-03",101.210952124389
"2018-01-04",101.234741746683
"2018-01-05",102.386004593728
"2018-01-08",103.627788422469
"2018-01-09",103.560242836209
"2018-01-10",102.913548436554
"2018-01-11",103.260520598326
"2018-01-12",103.507189398134
"2018-01-16",103.332089932818
"2018-01-17",104.710284471279
"2018-01-18",104.096932227751
"2018-01-19",105.141443228094
"2018-01-22",105.653319810678
"2018-01-23",106.005288238244
"2018-01-24",104.862185997958
"2018-01-25",104.8380052848
"2018-01-26",105.405444344493
"2018-01-29",103.46318625869
"2018-01-30",102.879998451069
"2018-01-31",104.431360932839
"2018-02-01",104.10355772767
"2018-02-02",102.380092632572
"2018-02-05",99.0571662329783
"2018-02-06",100.353155974725
"2018-02-07",99.8515364820531
"2018-02-08",95.9071399076637
"2018-02-09",97.0070172695687
"2018-02-12",98.4678760892928
"2018-02-13",98.9192497848622
"2018-02-14",100.662788297
"2018-02-15",101.953922600682
"2018-02-16",101.606352057805
"2018-02-20",100.733825509907
"2018-02-21",100.506752132332
"2018-02-22",100.48740429125
"2018-02-23",101.623390510642
"2018-02-26",102.395652165717
"2018-02-27",100.6448377372
"2018-02-28",99.078505161099
"2018-03-01",98.3805416830948
"2018-03-02",98.6731563588341
"2018-03-05",99.4010783769778
"2018-03-06",100.188434841788
"2018-03-07",100.693953871036
"2018-03-08",101.501826697798
"2018-03-09",103.246644775237
"2018-03-12",103.07448594818
"2018-03-13",102.977171103705
"2018-03-14",102.557082761579
"2018-03-15",102.043901917727
"2018-03-16",102.289816857701
"2018-03-19",101.513807318809
"2018-03-20",102.400722187361
"2018-03-21",102.269344238105
"2018-03-22",100.168674342772
"2018-03-23",98.7666520850268
"2018-03-26",101.527014165399
"2018-03-27",99.5575087646298
"2018-03-28",98.7962408932341
"2018-03-29",100.714572338312
"2018-04-02",99.0952838883147
"2018-04-03",100.479528698656
"2018-04-04",101.217030460198
"2018-04-05",102.893804352661
"2018-04-06",101.252588852812
"2018-04-09",101.791195939868
"2018-04-10",102.934901274311
"2018-04-11",102.87347896709
"2018-04-12",102.716480950203
"2018-04-13",103.01387158198
"2018-04-16",104.298241726041
"2018-04-17",105.841123050541
"2018-04-18",106.173086871111
"2018-04-19",105.538340757278
"2018-04-20",105.061910545272
"2018-04-23",104.915954829502
"2018-04-24",103.591731400677
"2018-04-25",103.841095165784
"2018-04-26",105.551067909511
"2018-04-27",104.36145016664
"2018-04-30",103.847252420149
"2018-05-01",104.195186801083
"2018-05-02",103.840784811859
"2018-05-03",104.690604064364
"2018-05-04",106.005920071192
"2018-05-07",106.177275756776
"2018-05-08",106.603093645468
"2018-05-09",107.9351072704
"2018-05-10",108.683848559577
"2018-05-11",108.791101453954
"2018-05-14",109.107752849307
"2018-05-15",108.265179605152
"2018-05-16",108.523667375533
"2018-05-17",109.530130491697
"2018-05-18",109.899302686506
"2018-05-21",111.510170749094
"2018-05-22",109.801296933121
"2018-05-23",110.572787635659
"2018-05-24",111.139425676242
"2018-05-25",110.576727983908
"2018-05-29",110.607411944388
"2018-05-30",111.75749141995
"2018-05-31",110.736946336677
"2018-06-01",112.720952908991
"2018-06-04",113.25997288522
"2018-06-05",113.066499599335
"2018-06-06",112.397740981958
"2018-06-07",112.178331506667
"2018-06-08",112.812848468956
"2018-06-11",112.724058804406
"2018-06-12",112.446437143262
"2018-06-13",111.351741950493
"2018-06-14",111.670789109324
"2018-06-15",111.266199821911
"2018-06-18",111.747625675467
"2018-06-19",111.148002985612
"2018-06-20",111.207040381456
"2018-06-21",109.846585393804
"2018-06-22",109.855522842708
"2018-06-25",107.442182205355
"2018-06-26",108.141313938413
"2018-06-27",106.97822759291
"2018-06-28",107.42525745561
"2018-06-29",108.199440064123
"2018-07-02",108.261699082335
"2018-07-03",107.717176427261
"2018-07-05",108.401654754274
"2018-07-06",109.075939464543
"2018-07-09",109.878120234318
"2018-07-10",110.252699600053
"2018-07-11",108.606528920555
"2018-07-12",109.754211324944
"2018-07-13",110.388342429863
"2018-07-16",110.270250018955
"2018-07-17",111.639357499563
"2018-07-18",111.952863426111
"2018-07-19",111.679576029345
"2018-07-20",111.124527562936
"2018-07-23",110.636509022218
"2018-07-24",111.11424453204
"2018-07-25",112.314204650612
"2018-07-26",112.508555475744
"2018-07-27",111.606432997832
"2018-07-30",110.311669072167
"2018-07-31",108.932016110049
"2018-08-01",108.724858130911
"2018-08-02",107.737138305602
"2018-08-03",107.889277922044
"2018-08-06",108.431307140158
"2018-08-07",108.727573766378
"2018-08-08",108.167083852157
"2018-08-09",107.799664745358
"2018-08-10",107.419084063888
"2018-08-13",106.666663500095
"2018-08-14",107.189535071846
"2018-08-15",105.958442976353
"2018-08-16",106.174258679911
"2018-08-17",106.470939431834
"2018-08-20",107.61784772244
"2018-08-21",107.760280108196
"2018-08-22",107.544354745761
"2018-08-23",107.795198551702
"2018-08-24",108.820634520466
"2018-08-27",109.812703710615
"2018-08-28",109.833115069289
"2018-08-29",110.163931346688
"2018-08-30",109.558366482965
"2018-08-31",109.651962438534
"2018-09-04",109.776356761888
"2018-09-05",108.723880803498
"2018-09-06",108.281435744015
"2018-09-07",107.683678794093
"2018-09-10",107.99330615401
"2018-09-11",108.241106096766
"2018-09-12",108.383294718768
"2018-09-13",109.338687209764
"2018-09-14",109.249275652545
"2018-09-17",108.215283419641
"2018-09-18",109.16423996621
"2018-09-19",107.521391009903
"2018-09-20",108.388599731979
"2018-09-21",108.956937644791
"2018-09-24",109.170002918648
"2018-09-25",109.26485077597
